index_code,date,State,region,wig,keto,wtm,incel,homophobic,cryptocurrency,poc,mukbang,oof,rng,jit,juuling
0,12/27/2015,Alabama,AL,0.0933842933892422,0.03362981208139869,0.0,0.0,0.003736529789410168,0.0,0.009357540007834253,0.0,0.003736529789410168,0.0,0.0,0.0
1,12/27/2015,Alaska,AK,0.04573009493032185,0.06862767215386952,0.0,0.0,0.0,0.0,0.0,0.0,0.02294538142408852,0.02294538142408852,0.0,0.0
2,12/27/2015,Arizona,AZ,0.0638582155406145,0.02556506752394076,0.0,0.0,0.006382191336112289,0.0,0.0074499234759530545,0.0,0.00852864122904947,0.004253317959961709,0.0,0.0021321602885356564
3,12/27/2015,Arkansas,AR,0.08679392109764274,0.023361761013078415,0.0,0.0,0.006702899302642811,0.0,0.006672080603876756,0.0,0.0,0.006672080603876756,0.006641716290036133,0.0
4,12/27/2015,California,CA,0.05773991330615774,0.027264700854407183,0.0003043097344252621,0.00030155466064397057,0.004240907918130063,0.0009046639070250659,0.012723692599531225,0.0009087659557039971,0.001965119820604457,0.006359640480429706,0.002419933138284447,0.0
5,12/27/2015,Colorado,CO,0.05376974337239044,0.01682134199942016,0.0,0.0,0.0022398755834448325,0.004535265154514235,0.014556009399403871,0.0,0.006802897769224775,0.0033566313323660176,0.004535265154514235,0.0
6,12/27/2015,Connecticut,CT,0.0618921048522564,0.024778951340581265,0.003506573563719794,0.0035677391979382915,0.005310493103517364,0.003506573563719794,0.003506573563719794,0.003506573563719794,0.005310493103517364,0.003506573563719794,0.0035677391979382915,0.0
7,12/27/2015,Delaware,DE,0.12589745226919133,0.0,0.0,0.0,0.015737181514922205,0.0,0.03148640864987219,0.0,0.0,0.015731197431747487,0.0,0.0
8,12/27/2015,District of Columbia,DC,0.07998105307745446,0.019453523235280656,0.0,0.0,0.008643281586927832,0.004321640793463916,0.010797962393873603,0.0,0.004313793851945891,0.0,0.0,0.0
9,12/27/2015,Florida,FL,0.060981801208825855,0.029564692102815694,0.0006186447763455412,0.0,0.0034180073050069696,0.0006258959088136377,0.015861429724445035,0.0,0.0024890380741615994,0.003426847511297696,0.0027992838764735453,0.0
10,12/27/2015,Georgia,GA,0.09000358370079804,0.019945427426629605,0.0,0.0,0.002281789633995347,0.001149613936372482,0.00796845974756044,0.001149613936372482,0.003421065901326646,0.002843335094235969,0.0034145917775679937,0.0
11,12/27/2015,Hawaii,HI,0.045231609273704496,0.04024714065008435,0.0,0.0,0.010102251806820721,0.0,0.010102251806820721,0.0,0.010102251806820721,0.020014426743854456,0.0,0.0
12,12/27/2015,Idaho,ID,0.031061329829274995,0.03625784909602617,0.0,0.0,0.0,0.0,0.0,0.010355907884298389,0.0,0.010355907884298389,0.0,0.0
13,12/27/2015,Illinois,IL,0.060603600515437304,0.024779579284667955,0.0,0.0017762169658086155,0.0026512698971392907,0.0,0.007079268973097432,0.0,0.004440542377068116,0.0026487564728419153,0.0030948238170429485,0.0
14,12/27/2015,Indiana,IN,0.08249408868320779,0.030920633649501424,0.0,0.0,0.003870572818064094,0.0,0.003870572818064094,0.0,0.005132250316826182,0.0,0.005132250316826182,0.0
15,12/27/2015,Iowa,IA,0.07102475166300144,0.035520140937289925,0.0,0.0,0.00548632126804052,0.0,0.021832266297677344,0.0,0.0,0.00820651265419208,0.0,0.0
16,12/27/2015,Kansas,KS,0.04552131329683978,0.04307889844189125,0.0,0.004801449177198527,0.009565528078193993,0.0,0.007177548252665953,0.0,0.0,0.004777813220950533,0.00719115702874779,0.0
17,12/27/2015,Kentucky,KY,0.06986723610311366,0.02054575313462808,0.0,0.0,0.004128551320160457,0.0,0.00615788818024591,0.0,0.0,0.0,0.004089822383591843,0.0
18,12/27/2015,Louisiana,LA,0.07781924930365343,0.031892107346654354,0.0,0.0,0.004022846974428349,0.0,0.004022846974428349,0.004022846974428349,0.004022846974428349,0.0120685408483782,0.003961816097625091,0.0
19,12/27/2015,Maine,ME,0.024033093167229683,0.030098315062568666,0.0,0.0,0.0,0.0,0.012016546583614842,0.0,0.0,0.024033093167229683,0.0,0.0
20,12/27/2015,Maryland,MD,0.09203403172903118,0.027723714873081767,0.0,0.0,0.0022176451792477406,0.0,0.008883182745067891,0.0022339011632532,0.0022339011632532,0.007771209648424788,0.0022176451792477406,0.0
21,12/27/2015,Massachusetts,MA,0.060918877960382124,0.019540694129273582,0.0015146333470470541,0.0015146333470470541,0.00447715766717434,0.0015146333470470541,0.01127807782076834,0.0,0.0,0.0059695435312635044,0.0030292666940941082,0.0
22,12/27/2015,Michigan,MI,0.05907521599439492,0.017163917446480825,0.0,0.0,0.0027438845712295943,0.0013764415278425402,0.006180571770858903,0.0,0.004810581295466569,0.006172764380155355,0.0041140250850336705,0.0
23,12/27/2015,Minnesota,MN,0.050078660165462585,0.02743112753564551,0.0,0.0,0.0023850207804061697,0.0023639664136850505,0.009533306598930326,0.0,0.0047279327524632556,0.007091899166148306,0.0035741429092620773,0.0
24,12/27/2015,Mississippi,MS,0.142992931375814,0.0073015238012707874,0.007361286879712208,0.0,0.0,0.0,0.007331368486323461,0.0,0.0,0.0,0.014603047602541575,0.0
25,12/27/2015,Missouri,MO,0.07996990551559861,0.03744319681874582,0.0,0.0,0.005190129188473294,0.0,0.007751926903509034,0.0,0.002581530650093569,0.002595064594236647,0.005163061300187138,0.0
26,12/27/2015,Montana,MT,0.03537898310662691,0.05365312360111701,0.0,0.0,0.0,0.0,0.0,0.0,0.01804799028562483,0.017689491590766878,0.017689491590766878,0.0
