index,date,State,region,blockchain,gekyume,ibf,incel,jit,juuling,mukbang,rng,uwu,zaddy
60,01/03/2016,Florida,FL,0.01134,0,0,0,0.02552,0,0.00284,0.01843,0,0.00564
61,01/03/2016,Georgia,GA,0.01303,0,0,0,0.00782,0,0,0.01827,0,0.00521
62,01/03/2016,Hawaii,HI,0,0,0,0,0.09249,0,0,0.04566,0,0
63,01/03/2016,Idaho,ID,0.04698,0,0,0,0.04698,0,0,0.04698,0,0
64,01/03/2016,Illinois,IL,0.01413,0,0,0.01205,0.02019,0,0,0.01413,0,0.00405
65,01/03/2016,Indiana,IN,0.02355,0,0.0119,0,0.01177,0,0.0119,0.01165,0,0
66,01/03/2016,Iowa,IA,0.02486,0,0,0,0,0,0,0.06217,0,0
67,01/03/2016,Kansas,KS,0.06606,0,0,0.02202,0.02178,0,0,0.04308,0,0
68,01/03/2016,Kentucky,KY,0.01864,0,0,0,0,0,0,0,0,0
69,01/03/2016,Louisiana,LA,0,0,0,0,0.03686,0,0,0.03661,0,0
70,01/03/2016,Maine,ME,0,0,0,0,0,0,0,0.11079,0,0
71,01/03/2016,Maryland,MD,0.02539,0,0,0,0.01016,0,0.01008,0.03558,0,0
72,01/03/2016,Massachusetts,MA,0.05181,0,0.0069,0.00692,0.0069,0,0,0.02073,0,0.0069
73,01/03/2016,Michigan,MI,0.01248,0,0,0,0.00937,0,0,0.02187,0,0
74,01/03/2016,Minnesota,MN,0.01634,0,0,0,0.01633,0,0,0.03271,0,0
75,01/03/2016,Mississippi,MS,0,0,0,0,0.0669,0,0,0.03345,0,0
76,01/03/2016,Missouri,MO,0.01754,0,0,0,0.01754,0,0,0.01754,0,0
77,01/03/2016,Montana,MT,0,0,0,0,0.08083,0,0,0.08083,0,0
78,01/03/2016,Nebraska,NE,0,0,0,0,0,0,0,0,0,0
79,01/03/2016,Nevada,NV,0,0,0.0208,0,0,0,0,0.08321,0,0
80,01/03/2016,New Hampshire,NH,0,0,0,0,0,0,0,0,0,0
81,01/03/2016,New Jersey,NJ,0.0161,0,0,0,0.00643,0,0.00644,0.01612,0,0.00643
82,01/03/2016,New Mexico,NM,0,0,0,0,0.07787,0,0,0,0,0
83,01/03/2016,New York,NY,0.05396,0,0.00251,0,0.01003,0,0.00251,0.01004,0,0
84,01/03/2016,North Carolina,NC,0.01461,0,0.0058,0.0058,0.01169,0,0,0.02042,0.0116,0.0116
85,01/03/2016,North Dakota,ND,0,0,0,0,0,0,0,0,0,0
86,01/03/2016,Ohio,OH,0.00589,0,0.00587,0,0.01471,0,0,0.01471,0,0.00587
87,01/03/2016,Oklahoma,OK,0.02221,0,0,0,0.02203,0,0,0.02221,0,0
88,01/03/2016,Oregon,OR,0.01987,0,0,0,0.01316,0,0,0.01987,0,0
89,01/03/2016,Pennsylvania,PA,0.02541,0,0.00508,0,0.02034,0,0.00509,0.0127,0,0
90,01/03/2016,Rhode Island,RI,0,0,0,0,0.05859,0,0,0,0,0
91,01/03/2016,South Carolina,SC,0.01576,0,0,0,0,0,0,0.01572,0,0
92,01/03/2016,South Dakota,SD,0,0,0,0,0,0,0,0,0,0
93,01/03/2016,Tennessee,TN,0.01941,0,0,0,0,0,0,0.02438,0,0
94,01/03/2016,Texas,TX,0.00508,0,0.00406,0,0.00406,0,0.00203,0.02135,0,0
