term,w_1_1_2012,w_1_8_2012,w_1_15_2012,w_1_22_2012,w_1_29_2012,w_2_5_2012,w_2_12_2012,w_2_19_2012,w_2_26_2012,w_3_4_2012,w_3_11_2012,w_3_18_2012,w_3_25_2012,w_4_1_2012,w_4_8_2012,w_4_15_2012,w_4_22_2012,w_4_29_2012,w_5_6_2012,w_5_13_2012,w_5_20_2012,w_5_27_2012,w_6_3_2012,w_6_10_2012,w_6_17_2012,w_6_24_2012,w_7_1_2012,w_7_8_2012,w_7_15_2012,w_7_22_2012,w_7_29_2012,w_8_5_2012,w_8_12_2012,w_8_19_2012,w_8_26_2012,w_9_2_2012,w_9_9_2012,w_9_16_2012,w_9_23_2012,w_9_30_2012,w_10_7_2012,w_10_14_2012,w_10_21_2012,w_10_28_2012,w_11_4_2012,w_11_11_2012,w_11_18_2012,w_11_25_2012,w_12_2_2012,w_12_9_2012,w_12_16_2012,w_12_23_2012,w_12_30_2012,w_1_6_2013,w_1_13_2013,w_1_20_2013,w_1_27_2013,w_2_3_2013,w_2_10_2013,w_2_17_2013,w_2_24_2013,w_3_3_2013,w_3_10_2013,w_3_17_2013,w_3_24_2013,w_3_31_2013,w_4_7_2013,w_4_14_2013,w_4_21_2013,w_4_28_2013,w_5_5_2013,w_5_12_2013,w_5_19_2013,w_5_26_2013,w_6_2_2013,w_6_9_2013,w_6_16_2013,w_6_23_2013,w_6_30_2013,w_7_7_2013,w_7_14_2013,w_7_21_2013,w_7_28_2013,w_8_4_2013,w_8_11_2013,w_8_18_2013,w_8_25_2013,w_9_1_2013,w_9_8_2013,w_9_15_2013,w_9_22_2013,w_9_29_2013,w_10_6_2013,w_10_13_2013,w_10_20_2013,w_10_27_2013,w_11_3_2013,w_11_10_2013,w_11_17_2013,w_11_24_2013,w_12_1_2013,w_12_8_2013,w_12_15_2013,w_12_22_2013,w_12_29_2013,w_1_5_2014,w_1_12_2014,w_1_19_2014,w_1_26_2014,w_2_2_2014,w_2_9_2014,w_2_16_2014,w_2_23_2014,w_3_2_2014,w_3_9_2014,w_3_16_2014,w_3_23_2014,w_3_30_2014,w_4_6_2014,w_4_13_2014,w_4_20_2014,w_4_27_2014,w_5_4_2014,w_5_11_2014,w_5_18_2014,w_5_25_2014,w_6_1_2014,w_6_8_2014,w_6_15_2014,w_6_22_2014,w_6_29_2014,w_7_6_2014,w_7_13_2014,w_7_20_2014,w_7_27_2014,w_8_3_2014,w_8_10_2014,w_8_17_2014,w_8_24_2014,w_8_31_2014,w_9_7_2014,w_9_14_2014,w_9_21_2014,w_9_28_2014,w_10_5_2014,w_10_12_2014,w_10_19_2014,w_10_26_2014,w_11_2_2014,w_11_9_2014,w_11_16_2014,w_11_23_2014,w_11_30_2014,w_12_7_2014,w_12_14_2014,w_12_21_2014,w_12_28_2014,w_1_4_2015,w_1_11_2015,w_1_18_2015,w_1_25_2015,w_2_1_2015,w_2_8_2015,w_2_15_2015,w_2_22_2015,w_3_1_2015,w_3_8_2015,w_3_15_2015,w_3_22_2015,w_3_29_2015,w_4_5_2015,w_4_12_2015,w_4_19_2015,w_4_26_2015,w_5_3_2015,w_5_10_2015,w_5_17_2015,w_5_24_2015,w_5_31_2015,w_6_7_2015,w_6_14_2015,w_6_21_2015,w_6_28_2015,w_7_5_2015,w_7_12_2015,w_7_19_2015,w_7_26_2015,w_8_2_2015,w_8_9_2015,w_8_16_2015,w_8_23_2015,w_8_30_2015,w_9_6_2015,w_9_13_2015,w_9_20_2015,w_9_27_2015,w_10_4_2015,w_10_11_2015,w_10_18_2015,w_10_25_2015,w_11_1_2015,w_11_8_2015,w_11_15_2015,w_11_22_2015,w_11_29_2015,w_12_6_2015,w_12_13_2015,w_12_20_2015,w_12_27_2015,w_1_3_2016,w_1_10_2016,w_1_17_2016,w_1_24_2016,w_1_31_2016,w_2_7_2016,w_2_14_2016,w_2_21_2016,w_2_28_2016,w_3_6_2016,w_3_13_2016,w_3_20_2016,w_3_27_2016,w_4_3_2016,w_4_10_2016,w_4_17_2016,w_4_24_2016,w_5_1_2016,w_5_8_2016,w_5_15_2016,w_5_22_2016,w_5_29_2016,w_6_5_2016,w_6_12_2016,w_6_19_2016,w_6_26_2016,w_7_3_2016,w_7_10_2016,w_7_17_2016,w_7_24_2016,w_7_31_2016,w_8_7_2016,w_8_14_2016,w_8_21_2016,w_8_28_2016,w_9_4_2016,w_9_11_2016,w_9_18_2016,w_9_25_2016,w_10_2_2016,w_10_9_2016,w_10_16_2016,w_10_23_2016,w_10_30_2016,w_11_6_2016,w_11_13_2016,w_11_20_2016,w_11_27_2016,w_12_4_2016,w_12_11_2016,w_12_18_2016,w_12_25_2016,w_1_1_2017,w_1_8_2017,w_1_15_2017,w_1_22_2017,w_1_29_2017,w_2_5_2017,w_2_12_2017,w_2_19_2017,w_2_26_2017,w_3_5_2017,w_3_12_2017,w_3_19_2017,w_3_26_2017,w_4_2_2017,w_4_9_2017,w_4_16_2017,w_4_23_2017,w_4_30_2017,w_5_7_2017,w_5_14_2017,w_5_21_2017,w_5_28_2017,w_6_4_2017,w_6_11_2017,w_6_18_2017,w_6_25_2017,w_7_2_2017,w_7_9_2017,w_7_16_2017,w_7_23_2017,w_7_30_2017,w_8_6_2017,w_8_13_2017,w_8_20_2017,w_8_27_2017,w_9_3_2017,w_9_10_2017,w_9_17_2017,w_9_24_2017,w_10_1_2017,w_10_8_2017,w_10_15_2017,w_10_22_2017,w_10_29_2017,w_11_5_2017,w_11_12_2017,w_11_19_2017,w_11_26_2017,w_12_3_2017,w_12_10_2017,w_12_17_2017,w_12_24_2017,w_12_31_2017,w_1_7_2018,w_1_14_2018,w_1_21_2018,w_1_28_2018,w_2_4_2018,w_2_11_2018,w_2_18_2018,w_2_25_2018,w_3_4_2018,w_3_11_2018,w_3_18_2018,w_3_25_2018,w_4_1_2018,w_4_8_2018,w_4_15_2018,w_4_22_2018,w_4_29_2018,w_5_6_2018,w_5_13_2018,w_5_20_2018,w_5_27_2018,w_6_3_2018,w_6_10_2018,w_6_17_2018,w_6_24_2018,w_7_1_2018,w_7_8_2018,w_7_15_2018,w_7_22_2018,w_7_29_2018,w_8_5_2018,w_8_12_2018,w_8_19_2018,w_8_26_2018,w_9_2_2018
emoji,0.009626906873768938,0.010317030677953901,0.011353530903127252,0.01206848098618628,0.012292896120082985,0.012473846332550352,0.012339264707952777,0.012738301266672471,0.013202522438499143,0.013061115228944537,0.013397719499603142,0.013207330767211964,0.013622554313377036,0.01397510616776211,0.014029155299955055,0.014417890076365665,0.01514098919531338,0.016154096041433166,0.01751602492509185,0.018179330103216002,0.019081295125217043,0.019661721830615892,0.02059010290805215,0.02225579774742271,0.022285145900848815,0.022514452896863154,0.022630018091533984,0.022888260480279865,0.023462757068756994,0.02337410422362075,0.022939620063283848,0.023856906042671953,0.02382695818481703,0.02423011065077351,0.02358215221971712,0.0234010568302179,0.02332351644398804,0.0244480457814346,0.026344387925396104,0.027366694768344035,0.027830148791522298,0.028493296463889182,0.030192674513306945,0.029887328719496224,0.03071374519924088,0.03183768238045785,0.0329626345428646,0.03449885801431961,0.03572393653629883,0.03577269500984816,0.035381256216866726,0.03675093559149476,0.03794575489240081,0.03939740695584655,0.04060626603312369,0.04190434419628266,0.041578768347912354,0.042257913296317305,0.04349344380977029,0.04425408943293444,0.04544725756525893,0.046069054189390835,0.04728614646497809,0.04692934673567302,0.04722608204701545,0.04854208567370578,0.048705042488848715,0.04836143286028807,0.048948137402986494,0.04973027186873516,0.04979558064971948,0.050291583891813964,0.05257025440389295,0.05667340732264074,0.05951621678421346,0.06395643542019945,0.06727216975632762,0.06709728062203861,0.06936559248870765,0.07213965030982394,0.07415999552876885,0.08128540514928671,0.08433118141084084,0.08704442703905746,0.08867951720143674,0.08764647644177383,0.08662939458813622,0.0844703250412497,0.08376473271238272,0.0845027809141021,0.08374195790825606,0.08377893112674098,0.08430348027448674,0.08032344087544308,0.08105230379932281,0.08084778219610338,0.08191033251485261,0.08359751569359442,0.08506806178033606,0.08715313897204076,0.0874471950500665,0.08960006349967894,0.09067278816197359,0.09536473081345709,0.09989993196284695,0.10187887015107924,0.10199447119969644,0.10471488635914832,0.10460229540658073,0.10548053832545173,0.10761700604777727,0.11017691428594964,0.11274585432191066,0.11747232155604885,0.12279392316178556,0.12533993302651908,0.1285882657176231,0.13211819970641675,0.1370342287677205,0.14040611919005336,0.14562832698895287,0.14868691606709322,0.15052239016148075,0.1535091827813986,0.15623544565659728,0.15823459767076084,0.1615466377923825,0.16795164589455416,0.1828534272467266,0.21424404840568387,0.2548630156678485,0.2906815749200546,0.31782990544261125,0.3384628603583153,0.35465428111271086,0.3632780534437727,0.3706316533042288,0.37414129068850627,0.37530416928115734,0.37287149814392845,0.3609563354256818,0.3323387096787991,0.2949564654741095,0.2618839241183235,0.23572037620168598,0.22056197192691254,0.20952943863771598,0.20356879415644338,0.2049831723314682,0.2062070018780815,0.21063787383056762,0.21620757832902454,0.22072022759777166,0.22548088440032207,0.23054427657778284,0.23846022847736836,0.2507115072235868,0.2586738772775504,0.26396129824691067,0.2689473145888847,0.27018040778880636,0.27310017680267823,0.2727680668556445,0.2725408840486968,0.273609378322733,0.2746122956031056,0.27516628461489817,0.27190948976344065,0.2658716228009291,0.2613401644261274,0.3383501690146979,0.40755927714329904,0.46416435590205013,0.5090771464889884,0.54232532966033,0.5683065713305084,0.5905967395515183,0.617856613588196,0.6414368011374569,0.6651276388714599,0.6853469127155115,0.749740739736588,0.7420361252125198,0.7471213485434001,0.7450690343104531,0.7292246740955028,0.7219755795565991,0.7339597360866943,0.7360223836785837,0.7328044396601697,0.7320084830577945,0.7333677225180676,0.7445254769099967,0.732853838221014,0.7934268971241124,0.9125679248736146,0.9399453058792151,0.9589837817056437,0.9723059375665918,0.9713368710662893,0.9758541471295578,0.9844316139002134,0.9914654989631979,1.0,0.99484076053711,0.9666705392031865,0.85790739684606,0.696407191801241,0.650498265110315,0.632936256052301,0.6176184828730852,0.6041149929737386,0.5999076653445646,0.591516279297393,0.5876250125082467,0.5861752053504962,0.5933066034606764,0.5998642015553654,0.6055755975788812,0.6128274508588001,0.6221648050360071,0.6668051008502168,0.6963847630820491,0.7201979620318997,0.7284697838484484,0.7338436908265527,0.740665252593397,0.7413689016383722,0.7409158463918631,0.7401811416649926,0.7459355873331768,0.7374673581017774,0.7271111702596946,0.7034856275941139,0.7005235555782808,0.7002945244689484,0.711592643538315,0.7241832153495612,0.7211947423746913,0.7155517498938441,0.7066476327886577,0.7071286760030916,0.6980770616754086,0.6935219405766442,0.6845036946991006,0.6667979890627053,0.6489227693646926,0.6377054754062541,0.6236795852056793,0.6076000029741914,0.6049215281257277,0.6051804231821004,0.6108666551448266,0.6046228397178345,0.6168906729229977,0.6377240549212488,0.6523669638616463,0.6579330686238903,0.6626494034069889,0.6609785859822109,0.6743894257617156,0.6939617311210399,0.7018089751597244,0.7061961211488912,0.7050932950228873,0.7228707379899445,0.7271413607921547,0.7231219790464944,0.7208190395642513,0.7127025010635083,0.7016895607608563,0.6986251711432143,0.6860882540707514,0.6715659986919291,0.6646395067657189,0.6658895349796298,0.671976859630546,0.6721182479696024,0.6714072410658212,0.6712766994890581,0.6750346067070622,0.6869625312915504,0.7016520357690077,0.7020874303679749,0.7001958068549589,0.6987245689757577,0.7009915727395002,0.7004452057734868,0.6992684572389471,0.7023955414445735,0.7069601769226641,0.7121031997085249,0.7087228558062678,0.6989920877239474,0.6929068970747568,0.6965815596065696,0.7023573261699054,0.7024502002196577,0.7028162085004167,0.7011137527985662,0.6971330467677272,0.6815813938934037,0.6654994104539373,0.6482071464854756,0.6392819587079421,0.6435498597553133,0.6431568845263786,0.639998470261815,0.634844134863965,0.640039717270704,0.6432874940369346,0.6485078596978119,0.6614821936576193,0.672434618663208,0.6763122859876048,0.6736272053325851,0.6687184474515997,0.6559255738367243,0.6486259643583104,0.6429624838002932,0.6405614601237791,0.6327070299478209,0.6263030950737766,0.6230607868520847,0.606439973323536,0.5949459472849279,0.5904424104538978,0.5879345317014111,0.5879071931302267,0.5876477091885107,0.5865419980149578,0.5891013709600015,0.590668288680412,0.592806444809102,0.588591079479978,0.580709902889065,0.581684718475311,0.5814025386081504,0.5809438774398766,0.58924359098481,0.5985066298697116,0.6076647786007033,0.6103176726019766,0.6084473284690162,0.6066212221930865,0.605383235118194,0.6070614603456964,0.6098123074541805,0.6140092229715333
pansexual,0.023279856527411925,0.02347968138946383,0.02329475075993585,0.023812446897600703,0.02439174929872424,0.02477259092320005,0.024166777610937645,0.024190360827201846,0.024365673541270977,0.024702606410202728,0.02366079753651093,0.023311192876515202,0.022285295732603527,0.022189263013080128,0.021686607165594295,0.02154244020859789,0.021046826830993633,0.021331624539450523,0.021634727134253406,0.02095436139042632,0.020162759721596767,0.019642045688076443,0.020320608167107485,0.020900325593385352,0.02242255168418828,0.0226522911920185,0.02394892903296106,0.024354718839728503,0.024880920791498985,0.025423983784906085,0.0270266009651814,0.026919735070123123,0.029327442425448654,0.03099014742310422,0.03072207199522144,0.03059919737602293,0.02960670805868989,0.029489004207570557,0.02851943084568979,0.028199973567615298,0.028174189296455633,0.027462747742202028,0.02583742733988941,0.025484113620595387,0.024197676667698863,0.022739269594958898,0.022545071789629625,0.02200970632399394,0.02237141401824167,0.02214797750837513,0.02349900566011583,0.02438476004364724,0.024537095787653656,0.025214561764943216,0.02527415442045398,0.02540946016896435,0.02503437933014086,0.025399781113091744,0.025578754326377455,0.02685804640548951,0.027504523879856975,0.028522746140594916,0.027799695581728914,0.02709749805546563,0.02756747950973134,0.027834343451637707,0.028887992304838343,0.029754783347444264,0.030054072214586197,0.03040666935816665,0.030744249485182378,0.029900674313144797,0.02927980209181193,0.02911213054562663,0.02925200874162388,0.030272752226707958,0.030779534045696222,0.03105309349192623,0.03250512472657995,0.0321483005914307,0.03314349920907402,0.03323663002340345,0.03416838401366563,0.03674092126977301,0.03854770289764087,0.0397717327231404,0.040465188050858844,0.04046284383178466,0.03942023094907154,0.03885641581732476,0.036524009800730846,0.036649921941102816,0.03663899818717718,0.0364433004288576,0.0354091239168172,0.033612813905741105,0.03234773080846621,0.03181144672698424,0.03235939441171971,0.031810551258948924,0.03226701451741034,0.03312004317996687,0.0339042725226085,0.03450684388330163,0.0361908418477717,0.03702857609744179,0.03729244378166381,0.03736839539775909,0.03749578107242407,0.03740822787411231,0.03757768305977565,0.0400414087466699,0.042060937753671396,0.04154215782040044,0.04236437586593005,0.04240745972910159,0.04093446865482605,0.041715526998971166,0.04213116607350385,0.04296171607295017,0.04321907003864668,0.04352389714536698,0.04373853409037452,0.043151246323482266,0.04364473123470699,0.046733136957839,0.048885621581520614,0.051951434915340676,0.05690586984334318,0.05822974221612412,0.058729128057900204,0.058962722179470524,0.06211632283158179,0.06372181776281353,0.06328310535287462,0.06315027830718807,0.06147318153547066,0.06076519957253079,0.05996107632180194,0.05987029400385959,0.056409517371230976,0.05618847288570042,0.05830844074772249,0.06086803347116706,0.06350142355464665,0.06807300425665197,0.07189144966792367,0.07342276857112569,0.07691096693093358,0.07792642214763715,0.07720407508093936,0.07542903476306348,0.07450883857546227,0.073560005903819,0.07216827937147008,0.07022583421044835,0.06753334675913081,0.0636012430799204,0.06112416626403147,0.06067028096721374,0.05808368242236747,0.056973145559243495,0.05734226734638155,0.05983851457546152,0.06246465247492426,0.06503021016281031,0.0685546143408481,0.07072748828609307,0.07228274881921938,0.07600169122637171,0.08046057379138039,0.08338727129732543,0.08700000576078568,0.0902280610952816,0.0933510857535587,0.09388076654455095,0.09439933311539035,0.10205736417951718,0.10490716025429718,0.10873688821056458,0.10980847875592493,0.11542385275319964,0.12409581983313166,0.12669543461853344,0.12714848873281265,0.1273755620908715,0.12880632388393165,0.13160384062763147,0.13405931877463712,0.1283907684686071,0.1556084015243607,0.17608291307065135,0.17917166160783174,0.17436175418914218,0.16492802208810023,0.16362966678022622,0.16608308804294167,0.17561308107073043,0.17480033639264442,0.1728809450675142,0.17458269727719644,0.1776320081088433,0.1476405867026859,0.12326455489341492,0.11865458618878236,0.11739687617251529,0.11636702528184696,0.11432080571656493,0.11206299264020488,0.10058149686392506,0.09750996614659825,0.0980151702661441,0.09366312768070967,0.08968626016078576,0.09140502261484275,0.09595254494144234,0.09778587761170832,0.09813083685829128,0.09834193067858026,0.09939750394517459,0.09972328158207097,0.09927454503775134,0.10067674570295844,0.09859677662927929,0.09800181649527973,0.09556427790177738,0.09074674566963566,0.08437730669508885,0.08080259062410021,0.07743581511317223,0.075612160366549,0.07370343980486692,0.07538065898321518,0.0766894934560802,0.07821101542569829,0.07833510731782595,0.07877539931425703,0.08421796659960695,0.08886078028676225,0.0921669992371378,0.0940513462860963,0.09328736775556216,0.09241293013552962,0.09246698933198821,0.08793245896590327,0.08588041118438912,0.08261774546937391,0.0820553207159253,0.07917328615643072,0.17076043750924721,0.18104846813156283,0.18713918796249265,0.18905604812481439,0.19125218423624965,0.1919771091387878,0.19161168257258276,0.19126992225283343,0.19345880555123526,0.19346815877650775,0.19371817010559997,0.1951703368304299,0.09880302400244936,0.08483172049165598,0.07707107996201668,0.07302256518660842,0.07053623390105358,0.06946228265638406,0.06824836691463941,0.06973561389539068,0.06880139579548987,0.07126842306472732,0.07289369339731838,0.07598644134786077,0.0785047883204496,0.07966609965533392,0.07891078545108923,0.0803608010649419,0.08236627532497716,0.08490128972789236,0.08756990776039157,0.08915799465714916,0.0903868782263602,0.0955148433611837,0.09554143176716799,0.09521153281349203,0.09354725389049368,0.09457266820126128,0.09428151553806934,0.0932810777153405,0.09234340077894587,0.09267050803113663,0.09353483068679101,0.09260017428812159,0.09202163412931696,0.08625242808334181,0.08555896784929388,0.08338509905139041,0.08226994923211035,0.07914450487276677,0.07872054743107601,0.07993170921233156,0.09166891017598944,0.09219494317390049,0.0918340139506,0.0901189598010214,0.08775750001077134,0.08606675722707602,0.08379288900515046,0.08305990941921401,0.08314295646838879,0.08333691889570541,0.08357324823307004,0.08239933216029159,0.07206068142688989,0.07148751998905324,0.0702930462698686,0.06941615057875683,0.07071044898115135,0.07228927612450357,0.07471358750528195,0.07643124289011852,0.07780498634101529,0.07936944561293653,0.07995278906832116,0.08033066198603982,0.07783825515492475,0.07564978071731457,0.07297971179512003,0.07300982609076796,0.1718888948037697,0.1898440393641489,0.1944026547759435,0.20407203448615638,0.22069171339455732,0.23029615343072812,0.23892781098811564,0.24495612796896135,0.25134962821239026,0.26386344917904603,0.30628668904765455,0.3224500628323679,0.24374306794140282,0.2340755196759298,0.23235553542002416,0.2274081386845903,0.21128544906470995,0.20277708593220153,0.19519458630107947,0.1891975055298939
sapiosexual,0.0033201914219701586,0.0028355687256580455,0.002755242047485756,0.0026115599364865535,0.0026115599364865535,0.0027865214076848504,0.0027865214076848504,0.002967443440208424,0.002960051614505821,0.0030470443590247505,0.003216951430215329,0.0038528943861307874,0.004526874101802662,0.0047774280206162026,0.005194781291194015,0.005340371586958557,0.006262073640306164,0.006357460233975478,0.00664856219842925,0.006904330161664223,0.007005069183407517,0.006809788085685423,0.00655906936452203,0.005574932129636965,0.004940960260147097,0.004539171753791473,0.004288958761976488,0.004341247654109001,0.004096370232723051,0.0040499756035659125,0.004098415165697774,0.003744909973749951,0.003783115309955838,0.003773163889894347,0.00414992483206311,0.004575554199883319,0.004741843544986287,0.0049594181233308205,0.005137258351912112,0.005200080252856784,0.004836805300842271,0.005190522471385137,0.00545882220658837,0.0057871389319024144,0.0058798747238054784,0.006040371706622676,0.005932585811881587,0.006133434461355718,0.0060138348799997805,0.005936801732758175,0.005827958461108286,0.0057698170727028065,0.005817393372449398,0.005396919173096627,0.005362939318819686,0.005076124479921904,0.005168750948739453,0.005457119836055368,0.005474717078723552,0.005372808337706249,0.005510731172692973,0.0056153497172338395,0.005373658893956148,0.005209823216816206,0.005469337099722379,0.005507106275816093,0.00541655581339343,0.005767647468637466,0.005852209441397699,0.005575728842065689,0.00549744910972125,0.005225758723423908,0.005203619477672403,0.005192465755276897,0.005405305096637818,0.005797573436714624,0.005560188232081036,0.005576440888859717,0.005451269101028885,0.005600399628035611,0.005618614313400807,0.005584874617662701,0.005753743811459156,0.006169243621716047,0.006297468278725446,0.006526785087398784,0.00695368230108299,0.006934669519452544,0.0070614688248406806,0.00726709233934438,0.007635784885552893,0.007557670458771592,0.0075749173391921835,0.007927922714547661,0.0082632114598838,0.008185666670537722,0.00879041203841241,0.009460581297309667,0.010045844762971769,0.010836794393191176,0.01117518846769053,0.011474814236124764,0.011749427285163955,0.012150316675187966,0.01287423603178534,0.013298030809782705,0.013228952458102936,0.013771403795765769,0.013338805678809795,0.012878020950485897,0.01208110056887225,0.01157816455739167,0.01128626311283612,0.011168650720730797,0.011198756210146307,0.010727027725168814,0.010110148627031926,0.009821574806106915,0.009858417314941827,0.009534964271801625,0.009444130122891236,0.009561981667108829,0.009593939484615378,0.009396568290526501,0.009821470766760864,0.009974503964376134,0.010150448211114172,0.010464718492481139,0.010904688935625035,0.011770289375605746,0.012188818278213628,0.01287449594144549,0.013596058498636626,0.014011178634472248,0.014701600089313515,0.015239084334473055,0.015272137898901158,0.015411687748231906,0.015075676262819493,0.015887481567511345,0.015605174387390392,0.014839091293107606,0.014299015751152411,0.013767798524206886,0.01347861908609699,0.013121116242033649,0.012893444940792446,0.01320686906902573,0.01305408672323154,0.01325829318913313,0.01370710987016793,0.013519999823915614,0.014515155039413365,0.014816412602717799,0.01553027675151427,0.016203072280530285,0.016943056092138874,0.01826320217056662,0.018452490123903424,0.0180067232927675,0.018272709756513385,0.017951911163435728,0.01821192448552429,0.017636921035468864,0.01683272821550377,0.01711239302268095,0.016745478203194417,0.016174895481821355,0.01569746445812893,0.014736895468912927,0.014813932641860787,0.014903932714756265,0.015425741740378217,0.015557337045753763,0.014832123172988444,0.015809981438344042,0.01585246157138051,0.016346997946757966,0.016525492478409176,0.016271403612092915,0.01637552863020746,0.016267788905284995,0.016084579265181455,0.016192392962456375,0.0161800292637243,0.01649698016224448,0.017102928587273105,0.016505329980232686,0.016520382473333803,0.015781733183349075,0.015611021977333862,0.016231536791433195,0.01664130085089854,0.0165835929807355,0.01701077752920373,0.01701182786112658,0.016645660690773775,0.01659996364102881,0.016731812440095167,0.016620029270648515,0.016408985142671126,0.016910890573350174,0.01770069501594307,0.017997013540884683,0.017620419288115582,0.017535703457894375,0.017258417214097883,0.01764046252474424,0.01791060188190314,0.017903342401293706,0.017352090240738673,0.01779558040918351,0.018079925225686598,0.017295364517098774,0.016695806271734934,0.016235265350246157,0.015687923534302217,0.015238668680302119,0.014809280560872018,0.014094996103181759,0.013765054124770179,0.01368058650450032,0.014006337093682809,0.013361742769219902,0.013284393604037202,0.013471978432021083,0.013146736214056733,0.013375709705468425,0.013340132778037738,0.013757015040983601,0.014226232365880599,0.014472055073416784,0.014486980001950913,0.013883451529595418,0.013565762542993874,0.013862714487654205,0.014127356113903948,0.01366709045008043,0.014017297707981352,0.013615980209257679,0.013511581191511085,0.013364811992830138,0.012888003569770864,0.012573875571959386,0.012227694271921094,0.01223023562479851,0.012160805527034626,0.01174098424691525,0.011009399819803149,0.011336172938374661,0.010834699264691569,0.010491806589254464,0.010573138435957545,0.010424875322845665,0.010334723027932384,0.010297145827705753,0.010316779071312905,0.010329856829692136,0.010327264149059955,0.010002749074288093,0.010333977517455102,0.010065560533557163,0.009943148744774775,0.010286644647133678,0.010388085903012002,0.01027700358386386,0.01028611929246727,0.010022655688510688,0.009724069810323706,0.010059585253243386,0.010289673613681348,0.010678899400451868,0.010672048780634057,0.010982043636153838,0.011219488974774627,0.010770018619686513,0.011518233994162042,0.012169847640695548,0.012133758190537147,0.012551287711566978,0.012693895336405792,0.01301810357687896,0.012812599827136376,0.01284301277986719,0.01290236754129889,0.013149729200854748,0.01304582773524073,0.013440352986887302,0.013093152050936361,0.012552675951208696,0.012621410105003573,0.012630503546419258,0.013082342149015781,0.012946373542809697,0.01286768180459062,0.012895151966048304,0.013125523509760711,0.01294043336162234,0.01324531217350736,0.012959260457551726,0.012353558732834601,0.01241689617578668,0.012765908050536214,0.012821041733155186,0.012755162182505763,0.012631687984681754,0.014017983461881392,0.015820855374154754,0.01691380040415333,0.01834832749059604,0.01939562440834132,0.021049694140274463,0.023426818582583185,0.024562344010864667,0.025968641838613804,0.027224805354661943,0.028345609026771898,0.029245490997392102,0.02856015086446914,0.02768866735800858,0.02700528359252271,0.025577180023624715,0.024558663131510162,0.02338496671132929,0.02165468985675694,0.021053103158653358,0.020345953384678594,0.01969623861346471,0.01974217921843817,0.019230636246982277,0.01910886618093776,0.019207634871075387,0.018953076129357056,0.01996883667071946,0.022882874462719298,0.02393607457547571,0.023793534255413362,0.023620072737205386,0.023407925943123815,0.02392127997918162,0.023536774584602894,0.024549460870222247,0.02502192253695161,0.025064050672297323,0.025418454477363475,0.025129837002686256,0.02268217904168954,0.022798543968068786,0.024189342700929033
