region,date,blase,netflix and chill,glock,lowkey,pleb,quan,pepe,stoop,burnt,simmer,chapo,spry,vape,tome,nae nae,shudder,wap,triggered,shook,juju,broccoli,woke,holosexual,shill,gaslighting,bigly,SJW,dank memes,vexing,bough,brandish,boolin,quash,wavy
IN,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12/7/14,,,,,,,,,,0.82397,,,,,,,,,,,,,,,,,,,,,,,,
ND,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,12/7/14,,,,,0.82868,,,,,,,,,,,,,,,,,,,,,,,,,0.78295,,,,
NM,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,12/7/14,0.20045,,,,0.25001,,,,0.43873,0.17519,,0.37848,,,,,,,0.47723,,,,,,,,,,,,,,,
OH,12/7/14,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,
OK,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,12/7/14,,,,,,,,,0.89994,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12/7/14,,,,,,,,,,,,,0.28923,,,,,,,,,,,,,,,,,0.49071,,,,
RI,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12/7/14,,,,0.26223,,,,,,,,0.42132,,0.31362,,,,,,,,,,,,,,,,0.26909,,,,
UT,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,12/7/14,,,0.53329,,0.58236,,,,,,,,,,,,0.28310,,,,,,,,,,,,,,,,,
VT,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,12/14/14,0.16660,,,,,,,,0.21199,,,0.26981,0.15391,,,,,,,,0.61883,,,,,,,,,0.17468,,,,
CO,12/14/14,1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63416
GA,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53901,,,,
IN,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,12/14/14,,,,,,,,,,,,,0.97539,,,,,,,,,,,,,,,,,,,,,
LA,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,12/14/14,,,,0.79132,,,,,1.00000,,,,0.48358,0.95273,,,,,,,,,,,,,,,,,,,,
MD,12/14/14,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,,,,,,
ME,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,12/14/14,,,,,,,,,,,,,0.83958,,,,,,,,,,,,,,,,,,,,,
MS,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,12/14/14,,,0.35793,0.24373,,,,,,,,0.38971,,0.29167,,,,,,,,0.40529,,,,,,,,0.25208,,,,
OH,12/14/14,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12/14/14,,,,0.27443,,,,,0.34777,,,,,,,,,,,,0.51605,,,,,,,,,,,,,0.41522
UT,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,12/14/14,,,,,,,,0.40104,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,12/14/14,,,,,,,,0.88497,,,,,,,,,,,,,,,,,,,,,,0.86311,,,,
WI,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,12/21/14,,,,0.29474,,,,,,0.21967,,,0.12127,,,,,,0.26611,,,,,,0.29152,,0.72148,,0.43477,,,,,
CO,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12/21/14,,,0.67188,,0.49278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,0.92571,,,,,,,,,,
IN,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,12/21/14,,,,0.92344,,,,,,,,,,,,,0.72317,,,,,,,,,,,,,,,,,
NM,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,12/21/14,,,,,,,,,0.71030,,,,0.17331,,,,,,,0.79560,,,,,,,,,,,,,,0.42401
OH,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12/21/14,,,,,,,,,,0.24199,,,,0.38728,,,,,,,,,,0.46897,0.96903,,,,,,,,,
UT,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,12/28/14,,,,,,,,,0.47455,,,,0.11544,,,,,,,0.53026,,0.31477,,,,,,,,,,,,
CO,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12/28/14,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,,,,
DE,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12/28/14,,,,0.42794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,12/28/14,,,,,,,,0.70479,,,,,0.40372,,,,,,,,,,,,,,,,,,,,,
HI,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,12/28/14,,,,,,,,,,,,,,,,,0.69850,,,,,,,,,,,,,,,,,
MD,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,12/28/14,,,,,1.00000,,,,,,,,0.57359,,,,,,,,,,,,,,,,,,,,,
MN,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,12/28/14,0.22951,,,,,0.37494,,0.28912,,,,,0.24140,,,,,,,,,,,,,,,,,,,,0.09675,
OH,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,12/28/14,,,,,,,,,,,,,0.31522,,,,,,,,,,,,,,,,,,,,,
RI,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12/28/14,,,,,,0.28017,,,,,,0.48383,,0.35528,,,,,,,,,,,,,,,,,,,,
UT,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,12/28/14,,,,,,,,,,,,,,,,,,,,0.97061,,,,,,,,,,,,,,
VT,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,12/28/14,,,,,,,,,,,,,0.88618,,,,,,,,,,,,,,,,,,,,,
WV,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1/4/15,,,,0.09610,,,,,0.08060,,,,,,,,,,,,,,,,,,,,0.07071,,,,,
AL,1/4/15,0.00466,,0.02406,0.03819,0.00586,,,0.01760,,0.02430,,0.00874,,0.02596,,0.00770,0.00426,,0.00736,0.01528,0.04061,,,0.01590,,,0.02673,,0.03613,0.02246,0.02265,0.08004,0.00395,
AR,1/4/15,0.00879,,,0.01029,0.01105,0.00962,,0.01107,0.02590,0.00764,,0.03297,,0.03674,,0.01453,,0.01490,,0.02883,,,,,0.01525,,,,0.02272,0.02119,0.02849,,0.01490,
AZ,1/4/15,0.01455,,0.00418,0.01989,0.03049,0.00266,,0.00611,0.03574,0.02953,,0.04095,0.01387,0.00676,0.00835,0.01604,0.00222,,0.03833,0.03182,0.00529,,,0.00414,0.02526,,0.04175,,0.02508,0.02047,0.02752,0.00834,0.00308,0.01277
CA,1/4/15,0.01970,,0.00522,0.02166,0.02173,0.00564,0.00275,0.01910,0.01787,0.01766,0.00072,0.02616,0.00780,0.02661,0.00418,0.02356,0.00388,0.00617,0.01533,0.02088,0.01256,0.01007,,0.01242,0.00947,,0.01652,0.00070,0.03370,0.02924,0.01720,0.00834,0.00373,0.01703
CO,1/4/15,0.00874,,0.01881,0.02303,0.02198,0.00718,0.00660,0.01927,,0.02660,,0.04099,0.00469,0.03653,,0.01084,0.00399,,0.00691,0.00717,0.00476,,,0.00746,0.01517,,0.02507,,0.01130,0.02108,0.01416,0.03755,0.00556,0.00767
CT,1/4/15,0.01713,,0.00737,0.02006,,0.00469,,0.00540,,0.01490,,0.05624,0.00612,0.02984,,0.00708,0.00783,,0.00677,0.05619,0.01867,0.00837,,0.00731,0.01487,,,,,0.05680,0.11105,,0.00544,0.01504
DC,1/4/15,0.02198,,0.00757,0.01545,0.01658,,,0.02215,0.01296,0.01911,0.00173,,0.01257,0.06738,,0.00727,0.00402,,,0.08652,0.01916,0.01718,,0.02251,,,0.03784,,,0.02120,0.02138,0.01511,0.00559,0.01543
DE,1/4/15,0.02051,,,,0.02580,,,0.07754,,0.05352,,,0.01467,0.08576,,,0.01875,,,,,,,,,,,,,0.04947,0.03325,,0.00869,0.03602
FL,1/4/15,0.01883,,0.00389,0.03707,0.02084,,0.00228,0.01519,0.01332,0.02031,,0.06079,0.00485,0.04305,0.00130,0.02741,0.00275,0.00639,0.01310,0.02719,0.00493,0.01472,,0.01286,0.01046,,0.01513,,0.02338,0.00999,0.04274,0.02590,0.00894,0.02249
GA,1/4/15,0.00489,,0.00632,0.02437,0.01231,0.00804,,0.01542,0.00361,0.00745,,0.01378,0.00437,0.01535,0.00422,0.00607,0.00783,0.00415,0.01354,0.02810,0.00534,0.00717,,0.01462,0.01274,,0.01404,,0.03164,0.02066,0.01388,0.06730,0.00311,0.01289
HI,1/4/15,0.01237,,,0.11592,0.03111,,,,0.07291,0.01076,,,,0.05171,,,,,0.01955,0.12172,,,,0.02112,,,0.03549,0.02871,0.06397,0.01491,0.02005,0.04252,0.01048,0.02171
IA,1/4/15,0.03305,,,0.03872,0.00831,,0.01997,0.03332,0.02923,0.02875,,0.04962,0.00473,0.00921,0.04555,,0.01208,0.02242,,0.02169,0.01441,,,0.03386,0.04590,,,,0.01710,0.00797,0.01072,,0.00560,
ID,1/4/15,0.02578,,,0.06041,0.03242,,,0.08122,,,,0.04838,0.00922,0.05390,,0.02132,,,,,,,,,,,0.03699,,0.10002,,0.02090,,,
IL,1/4/15,0.01564,,0.00367,0.02416,0.01252,0.00311,,0.01254,0.00943,0.02660,,0.02669,0.00966,0.01288,0.00613,0.01646,0.00390,0.00482,0.01012,0.00700,0.00310,0.00278,,0.00850,0.00741,,0.01224,0.00165,0.03494,0.01372,0.01614,0.04400,0.00512,0.00125
IN,1/4/15,0.00657,,,0.01925,0.01653,,,0.00828,0.00969,0.02287,0.00130,0.02467,0.00940,0.03664,0.00566,0.03804,,0.01115,0.00519,0.06469,,0.01284,,0.00561,0.01712,,0.05659,,0.02550,0.01585,0.07992,0.02260,0.00139,0.00577
KS,1/4/15,0.01943,,,0.01517,0.01629,,,0.01632,0.01909,0.01127,,0.01215,,0.02708,0.01116,0.04284,,,0.01024,0.02125,,,,0.01106,0.03373,,,,0.01675,0.03905,0.01050,0.02226,,0.01137
