region,date,blase,netflix and chill,glock,lowkey,pleb,quan,pepe,stoop,burnt,simmer,chapo,spry,vape,tome,nae nae,shudder,wap,triggered,shook,juju,broccoli,woke,holosexual,shill,gaslighting,bigly,SJW,dank memes,vexing,bough,brandish,boolin,quash,wavy
AK,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,11/30/14,0.16287,,,0.15375,0.16228,0.21286,0.19819,,0.19066,0.11204,,0.24700,,,0.22354,,,,0.41013,,,,,,,,,,,0.15807,,,0.05550,
CO,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,11/30/14,,,,0.55844,,,,,,,,,0.22678,,,,,0.53800,,,,,,,0.56024,,,,,0.39083,0.78259,,,
GA,11/30/14,,,,,,0.51590,,,,,,,,,,,,,,,,,,,,,,,,0.57594,,,,
HI,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,11/30/14,0.39586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48174,,,,
IN,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97412,,,
ND,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,11/30/14,,,,,,,,,,0.52676,,,,,,,,,,,,,,,,,,,,,1.00000,,,
NM,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,11/30/14,0.19742,,,,,,,0.24796,0.28993,0.16894,,,,0.40836,,0.32545,,0.33334,,,,,,,,,0.85132,,,,0.31600,,,
OH,11/30/14,0.59600,,,,,,,,,0.53212,,,,,,1.00000,,,,,,,,,,,,,,,,,,
OK,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,11/30/14,,,,,,,,,,,,,,,0.37359,,,,,,0.70245,,,,0.37318,,,,,,,,,
UT,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,12/7/14,,,,,,,,,,,,,0.69437,,,,,,,,,,,,,,,,,,,,,
CA,12/7/14,,,,,0.20952,,,0.16847,,0.17486,,,0.16677,,,,,,0.21073,0.54479,0.29192,,,0.22869,,,,,,0.16060,,,,
CO,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12/7/14,0.33564,,,,0.42299,,,,,,,0.63173,,,,,,,,,,,,,,,,,,,0.54480,,,
GA,12/7/14,,,,,,,,,,,,,0.35454,,,,,,,,,,,,,,,,,,,,,
HI,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,12/7/14,,,,,,,,,,,,,,,,,,,,,0.91978,,,,,,,,,,,,,
